"";"empresa";"titulo_reclamacao";"status_reclamacao";"tempo_reclamacao";"link_reclamaco";"minutos";"reclamacao_id"
"1";"123milhas";"Central de atendimento e suporte ";" Resolvido";"Há 1 dia";"/123-milhas/central-de-atendimento-e-suporte_d5ktH2iG8X6OZzxT/";1440;1
"2";"123milhas";"Não consigo fazer check in. 123 milhas não emitiu bilhete com mudança de voo. ";" Resolvido";"Há 1 dia";"/123-milhas/nao-consigo-fazer-check-in-123-milhas-nao-emitiu-bilhete-com-mudanca-de-vo_pfw3ZEuh7DgaJiFP/";1440;2
"3";"123milhas";"NÃO CONSIGO ACESSAR MINHA COMPRA EM MEUS PEDIDOS";" Resolvido";"Há 1 dia";"/123-milhas/nao-consigo-acessar-minha-compra-em-meus-pedidos__BfpdDlWa3IWFKfx/";1440;3
"4";"123milhas";"Emissão de voos diferentes para viagem em grupo";" Não resolvido";"Há 1 dia";"/123-milhas/emissao-de-voos-diferentes-para-viagem-em-grupo_MMYo41InGLuIqy9T/";1440;4
"5";"123milhas";"VOU ACIONAR MEU ADVOGADO. PROPAGANDA ENGANOSA. DISSERAM QUE VENDEM NO BOLETO MAS NÃO APARECE ESSA OPÇÃO NO SITE";" Não resolvido";"Há 1 dia";"/123-milhas/vou-acionar-meu-advogado-propaganda-enganosa-disseram-que-vendem-no-bolet_DaE2LEygm0nbtQPT/";1440;5
"6";"123milhas";"Empresa esta FALINDO.. cuidado  123milhas sem acesso no site ";" Resolvido";"Há 1 dia";"/123-milhas/empresa-esta-falindo-cuidado-123milhas-sem-acesso-no-site_oyQusyqTygpXBspo/";1440;6
"7";"123milhas";"Total descaso da 123 Milhas com o cliente";" Não resolvido";"Há 1 dia";"/123-milhas/total-descaso-da-123-milhas-com-o-cliente_pfCEF_8OcLdsYRba/";1440;7
"8";"123milhas";"Passagens pacote promo nao emitidas ainda!";" Resolvido";"Há 1 dia";"/123-milhas/passagens-pacote-promo-nao-emitidas-ainda_VnjZgZa9JUrN0Gc-/";1440;8
"9";"123milhas";"Nome incompleto no cadastro";" Não resolvido";"Há 1 dia";"/123-milhas/nome-incompleto-no-cadastro_mV7iGbsljBQalsRI/";1440;9
"10";"123milhas";"Reembolso Resort GR Solaris";" Resolvido";"Há 1 dia";"/123-milhas/reembolso-resort-gr-solaris_WFXJ3i5Ko1YXXt3D/";1440;10
"11";"123milhas";"Até hoje sem receber meu estorno";" Resolvido";"Há 18 horas";"/123-milhas/ate-hoje-sem-receber-meu-estorno_qyLsfrYxOrakJuvX/";1080;11
"12";"123milhas";"Central de atendimento e suporte ";" Resolvido";"Há 1 dia";"/123-milhas/central-de-atendimento-e-suporte_d5ktH2iG8X6OZzxT/";1440;12
"13";"123milhas";"Não consigo fazer check in. 123 milhas não emitiu bilhete com mudança de voo. ";" Resolvido";"Há 1 dia";"/123-milhas/nao-consigo-fazer-check-in-123-milhas-nao-emitiu-bilhete-com-mudanca-de-vo_pfw3ZEuh7DgaJiFP/";1440;13
"14";"123milhas";"NÃO CONSIGO ACESSAR MINHA COMPRA EM MEUS PEDIDOS";" Resolvido";"Há 1 dia";"/123-milhas/nao-consigo-acessar-minha-compra-em-meus-pedidos__BfpdDlWa3IWFKfx/";1440;14
"15";"123milhas";"Emissão de voos diferentes para viagem em grupo";" Não resolvido";"Há 1 dia";"/123-milhas/emissao-de-voos-diferentes-para-viagem-em-grupo_MMYo41InGLuIqy9T/";1440;15
"16";"123milhas";"VOU ACIONAR MEU ADVOGADO. PROPAGANDA ENGANOSA. DISSERAM QUE VENDEM NO BOLETO MAS NÃO APARECE ESSA OPÇÃO NO SITE";" Não resolvido";"Há 1 dia";"/123-milhas/vou-acionar-meu-advogado-propaganda-enganosa-disseram-que-vendem-no-bolet_DaE2LEygm0nbtQPT/";1440;16
"17";"123milhas";"Empresa esta FALINDO.. cuidado  123milhas sem acesso no site ";" Resolvido";"Há 1 dia";"/123-milhas/empresa-esta-falindo-cuidado-123milhas-sem-acesso-no-site_oyQusyqTygpXBspo/";1440;17
"18";"123milhas";"Total descaso da 123 Milhas com o cliente";" Não resolvido";"Há 1 dia";"/123-milhas/total-descaso-da-123-milhas-com-o-cliente_pfCEF_8OcLdsYRba/";1440;18
"19";"123milhas";"Passagens pacote promo nao emitidas ainda!";" Resolvido";"Há 1 dia";"/123-milhas/passagens-pacote-promo-nao-emitidas-ainda_VnjZgZa9JUrN0Gc-/";1440;19
"20";"123milhas";"Nome incompleto no cadastro";" Não resolvido";"Há 1 dia";"/123-milhas/nome-incompleto-no-cadastro_mV7iGbsljBQalsRI/";1440;20
"21";"123milhas";"Resolveu meu problema mais me meteu numa furada";" Não resolvido";"Há 17 horas";"/123-milhas/resolveu-meu-problema-mais-me-meteu-numa-furada_xBfOE4Ka89Ro-SqV/";1020;21
"22";"123milhas";"Até hoje sem receber meu estorno";" Resolvido";"Há 18 horas";"/123-milhas/ate-hoje-sem-receber-meu-estorno_qyLsfrYxOrakJuvX/";1080;22
"23";"123milhas";"Central de atendimento e suporte ";" Resolvido";"Há 1 dia";"/123-milhas/central-de-atendimento-e-suporte_d5ktH2iG8X6OZzxT/";1440;23
